ejercicio_presupuestario,servicio_id,programa_id,programa_desc,subprograma_id,subprograma_desc,proyecto_id,proyecto_desc,actividad_id,actividad_desc,obra_id,obra_desc,ultima_actualizacion_fecha
2023,105,20,Desarrollos y Suministros para la Energia Nuclear,0,Desarrollos y Suministros para la Energia Nuclear,31,"Readecuacion de Infraestructura del Centro Atomico Bariloche (CAB), Provincia de Rio Negro",0,"Readecuacion de Infraestructura del Centro Atomico Bariloche (CAB), Provincia de Rio Negro",51,"Readecuacion de Infraestructura del Centro Atomico Bariloche (CAB), Provincia de Rio Negro",2024-07-01 00:00:00
2023,105,21,Aplicaciones de la Tecnologia Nuclear,0,Aplicaciones de la Tecnologia Nuclear,0,Aplicaciones de la Tecnologia Nuclear,1,Coordinacion y Administracion,0,Aplicaciones de la Tecnologia Nuclear,2024-07-01 00:00:00
2023,105,21,Aplicaciones de la Tecnologia Nuclear,0,Aplicaciones de la Tecnologia Nuclear,0,Aplicaciones de la Tecnologia Nuclear,2,Produccion y Usos de Radioisotopos y Radiaciones,0,Aplicaciones de la Tecnologia Nuclear,2024-07-01 00:00:00
2023,105,21,Aplicaciones de la Tecnologia Nuclear,0,Aplicaciones de la Tecnologia Nuclear,0,Aplicaciones de la Tecnologia Nuclear,4,Aplicacion en Medicina Nuclear,0,Aplicaciones de la Tecnologia Nuclear,2024-07-01 00:00:00
2023,105,21,Aplicaciones de la Tecnologia Nuclear,0,Aplicaciones de la Tecnologia Nuclear,6,Adecuacion de la Planta de Produccion de Radiofarmacos,0,Adecuacion de la Planta de Produccion de Radiofarmacos,51,Adecuacion de la Planta de Produccion de Radiofarmacos,2024-07-01 00:00:00
2023,105,21,Aplicaciones de la Tecnologia Nuclear,0,Aplicaciones de la Tecnologia Nuclear,7,Desarrollo en Radioterapia por Captura Neutronica (BNCT),0,Desarrollo en Radioterapia por Captura Neutronica (BNCT),51,Desarrollo en Radioterapia por Captura Neutronica (BNCT),2024-07-01 00:00:00
2023,105,21,Aplicaciones de la Tecnologia Nuclear,0,Aplicaciones de la Tecnologia Nuclear,17,Renovacion Equipamiento e Instalaciones de Seguridad para Emergencias,0,Renovacion Equipamiento e Instalaciones de Seguridad para Emergencias,51,Renovacion Equipamiento e Instalaciones de Seguridad para Emergencias,2024-07-01 00:00:00
2023,105,21,Aplicaciones de la Tecnologia Nuclear,0,Aplicaciones de la Tecnologia Nuclear,23,"Creacion Centro de Radioterapia y Medicina Nuclear en San Carlos de Bariloche, Rio Negro",0,"Creacion Centro de Radioterapia y Medicina Nuclear en San Carlos de Bariloche, Rio Negro",51,"Creacion Centro de Radioterapia y Medicina Nuclear en San Carlos de Bariloche, Rio Negro",2024-07-01 00:00:00
2023,105,21,Aplicaciones de la Tecnologia Nuclear,0,Aplicaciones de la Tecnologia Nuclear,27,Mejoramiento y Ampliacion de la Infraestructura del Centro Atomico Ezeiza - Fase II,0,Mejoramiento y Ampliacion de la Infraestructura del Centro Atomico Ezeiza - Fase II,51,Mejoramiento y Ampliacion de la Infraestructura del Centro Atomico Ezeiza - Fase II,2024-07-01 00:00:00
2023,105,21,Aplicaciones de la Tecnologia Nuclear,0,Aplicaciones de la Tecnologia Nuclear,31,Extension del Ciclo de Vida y Capacidad del Ciclotron de Produccion del Centro Atomico Ezeiza. Provincia de Buenos Aires,0,Extension del Ciclo de Vida y Capacidad del Ciclotron de Produccion del Centro Atomico Ezeiza. Provincia de Buenos Aires,51,Extension del Ciclo de Vida y Capacidad del Ciclotron de Produccion del Centro Atomico Ezeiza. Provincia de Buenos Aires,2024-07-01 00:00:00
